All,Alle
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Din Base URL-adresse er blevet ændret og dine rapporter opdateres. Avancerede rapporter vil være tilgængelige når denne ændring er blevet behandlet. Prøv igen senere."
"Failed to synchronize data to the Magento Business Intelligence service. ","Ikke kunne synkronisere data til tjenesten Magento Business Intelligence. "
"Retry Synchronization","Prøv at synkronisere igen"
TestMessage,TestBesked
"Apps and Games","Apps og spil"
"Athletic/Sporting Goods","Atletisk/sports varer"
"Art and Design","Kunst og design"
"Advanced Reporting","Avanceret rapport"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Få ny indsigt og overtage styringen over din virksomheds ydeevne, ved hjælp af vores dynamiske produkt-, ordre- og kunderapporter skræddersyet til dine kundedata."
"Go to Advanced Reporting","Gå til avanceret rapportering"
Analytics,Analyser
Configuration,Konfiguration
"Advanced Reporting Service","Avanceret rapport service"
"Time of day to send data","Tidspunkt på dagen at sende data"
Industry,Industri
"In order to personalize your Advanced Reporting experience, please select your industry.","For at personliggøre din avancerede rapport, skal du vælge din branche."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>få mere indsigt fra Magento Business Intelligence</strong>"
"Auto Parts",Autodele
"Baby/Children’s Apparel, Gear and Toys","Baby/børns beklædning, udstyr og legetøj"
"Beauty and Cosmetics","Skønhed og kosmetik"
"Books, Music and Magazines","Bøger, musik og magasiner"
"Crafts and Stationery","Håndværk og brevpapir"
"Consumer Electronics",Forbrugerelektronik
"Fashion Apparel and Accessories","Modetøj og tilbehør"
"Food, Beverage and Grocery","Fødevarer, drikkevarer og dagligvarer"
"Home Goods and Furniture","Ting til Hjemmet"
"Home Improvement","Gør det selv"
"Jewelry and Watches","Smykker og ure"
"Mass Merchant",Storkøb
"Office Supplies",Kontorartikler
"Outdoor and Camping Gear","Udendørs og Camping udstyr"
"Pet Goods",Kæledyrsartikler
"Pharma and Medical Devices","Pharma og medicinsk udstyr"
"Technology B2B","Teknologi B2B"
Done,Udført
Retry,"Prøv igen"
"'Action Details - #' .","'Handlingsdetaljer - #'."
"%1 item(s) have been scheduled for update.""","%1 produkt(er) er blevet planlagt for opdatering."""
"Bulk Actions Log",Bulk-handlingslog
"%1 item(s) are currently being updated.","%1 produkt(er) opdateres i øjeblikket."
"Task ""%1"": ","Opgave ""%1"": "
"%1 item(s) have been scheduled for update.","%1 produkt(er) er blevet planlagt for opdatering."
"%1 item(s) have been successfully updated.","%1 produkt(er) er blevet opdateret."
"%1 item(s) failed to update","%1 produkt(er) havde en fejl ved opdateringen"
Details,Detaljer
"View Details","Vis detaljer"
Dismiss,Afvis
"Pending, in queue...","Venter, i kø..."
"%1 items selected for mass update","%1 produkter valgt til masseopdatering"
", %1 successfully updated",", %1 blev opdateret"
", %1 failed to update",",%1 havde en fejl ved opdateringen"
"Something went wrong.","Noget gik galt."
"Action Log",Handlingslog
"Bulk Actions",Bulk-handlinger
"Days Saved in Log","Dage gemt i loggen"
"Description of Operation","Beskrivelse af operationen"
Summary,Oversigt
"Start Time",Starttidspunkt
"Items to Retry","Produkter der forsøges igen"
"To retry, select the items and click “Retry”.","For at prøve igen, vælg produkterne og klik på ""Prøv igen""."
"Items That Can’t Be Updated.","Produkter der ikke kan opdateres."
"Meta Information",Meta-oplysninger
Error,Fejl
"Dismiss All Completed Tasks","Afvis alle færdiggjorte opgaver"
"Action Details - #","Handlingsdetaljer - #"
"Number of Records Affected","Antallet af poster som påvirkes"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Noget gik galt under udarbejdelse af en liste over tilladte ressourcer. Du kan finde flere oplysninger i logfilen for undtagelser."
"You created the order.","Du har oprettet ordren."
"Order saving error: %1","Bestillingsfejl: %1"
"Please choose a payment method.","Vælg venligst en betalingsmetode."
"We can't process your order right now. Please try again later.","Vi kan ikke behandle din ordre i øjeblikket, prøv igen senere."
"An error occurred on the server. Please try to place the order again.","Der opstod en fejl på serveren. Prøv at lægge ordren igen."
"Credit Card: xxxx-%1","Kreditkort: xxxx-%1"
"amount %1","beløb %1"
failed.,fejlede.
successful.,gennemført.
"Authorize.Net Transaction ID %1.","Authorize.Net Transaktion ID %1."
authorize,authoriser
"authorize and capture","tillade og fasthold"
capture,indfang
refund,refunder
void,ugyldig
"Gateway error: %1","Gateway fejl: %1"
"Something went wrong in the payment gateway.","Noget gik galt i betalingsgatewayen."
"Invalid amount for capture.","Ugyldig beløb til fastholdelse."
"Payment capturing error.","Betaling fastholdeses fejl."
"Invalid transaction ID.","Ugyldig transaktions ID."
"Payment voiding error.","Betaling void fejl."
"Invalid amount for refund.","Ugyldig beløb for restitution."
"Payment refunding error.","Tilbagebetalings fejl."
"The transaction was declined because the response hash validation failed.","Transaktionen blev afvist, fordi svar Hash-valideringen mislykkedes."
"This payment didn't work out because we can't find this order.","Betalingen fungerede ikke, fordi vi ikke kan finde ordren."
"There was a payment authorization error.","Der var en betaling autorisations fejl."
"Please enter a transaction ID to authorize this payment.","Angiv et transaktions-ID for at tillade denne betaling."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Noget gik galt: det betalte beløb ikke matcher ordrebeløb. Venligst ret dette og prøv igen."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaktionen %1 er blevet godkendt. Antal %2. Posteringsstatus er ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaktionen %1 er blevet annulleret/faldet. Posteringsstatussen er ""%2"". Mængde %3."
"Authorize Only","Kun tillad"
"Authorize and Capture","Tillad og fasthold"
"Unable to get transaction details. Try again later.","Der kan ikke hentes oplysninger om transaktionen. Prøv igen senere."
"Electronic payments save the trees.","Digital betaling redder træerne."
"Credit Card Type",Kreditkorttype
"Please Select","Vælg venligst"
"Credit Card Number",Kreditkortnummer
"Expiration Date",Udløbsdato
"Card Verification Number","Kortnummer verifikation"
"Fraud Detection ","Sporing af svindel "
"FDS Filter Action","FDS filterhandling"
"AVS Response","AVS svar"
"Card Code Response","Kort kode respons"
"CAVV Response","CAVV respons"
"Fraud Filters",Svindelfiltre
"Place Order","Afgiv ordre"
"Sorry, but something went wrong. Please contact the seller.","Desværre, men noget gik galt. Kontakt sælgeren."
"Authorize.net Direct Post","Authorize.net direkte Post"
Enabled,Aktiveret
"Payment Action",Betalingshandling
Title,Titel
"API Login ID","API Login-ID"
"Transaction Key",Transaktionsnøgle
"Merchant MD5","Sælger MD5"
"New Order Status","Nye ordrestatus"
"Test Mode",Testtilstand
"Transaction Details URL","Transaktionsdetaljer URL"
"Accepted Currency","Accepteret valuta"
Debug,Fejlsøgning
"Email Customer","E-mail til kunde"
"Merchant's Email","Shopejers e-mail"
"Credit Card Types",Kreditkorttyper
"Credit Card Verification","Kreditkort verifikation"
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra bestemte lande"
"Minimum Order Total","Minimumsordre i alt"
"Maximum Order Total","Maksimumsordre i alt"
"Sort Order",Sorteringsrækkefølge
"Cannot place order.","Kan ikke placere ordren."
"Unable to place order. Please try again later.","Vi kan desværre ikke modtage din ordre. Prøv venligst igen."
"A server error stopped your order from being placed. Please try to place your order again.","En serverfejl forhindrede din ordre fra at blive placeret. Prøv at afgive din ordre igen."
"The transaction details are unavailable. Please try again later.","Oplysninger om transaktionen er ikke tilgængelig. Prøv igen senere."
"There was an error while trying to process the request.","Der opstod desværre et problem under udførelsen af den angivne proces."
"This transaction cannot be refunded with its current status.","Denne transaktion kan ikke blive refunderet i sin nuværende status."
"The authenticity of the gateway response could not be verified.","Autenciteten af denne gateway respons kunne ikke blive verificeret."
Environment,Miljø
"Public Client Key","Offentlig Klient Nøgle"
"Invalid request to gateway.","Ugyldig anmodning til gateway."
"Invalid gateway credentials.","Ugyldig gateway credentials."
"Transaction has been declined. Please try again later.","Transaktionen blev afvist. Prøv venligst igen senere."
options,valgmuligheder
"Select all","Vælg alle"
"Deselect all","Fravælg alle"
"%s of %s selected","%s af %s valgt"
"B2B Features","B2B funktioner"
"Invalid Form Key. Please refresh the page.","Siden er udløbet og skal opdateres."
"You entered an invalid Secret Key. Please refresh the page.","Du har indtastet en ugyldig hemmelige nøgle. Opdater venligst siden."
"Cache Storage Management","Cache lager styring"
"Flush Magento Cache","Rens Magento Cache"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Cache lager kan indeholde supplerende data. Er du sikker på at du vil slette det?"
"Flush Cache Storage","Rens Cache Lager"
Invalidated,Ødelagt
Orders,Ordrer
Amounts,Beløb
Bestsellers,Bestsellere
"Most Viewed Products","Mest sete produkter"
"New Customers","Nye kunder"
Customer,Kunde
Guest,Gæst
Items,Varer
Total,"I alt"
"Lifetime Sales","Totalt salg"
"Average Order","Gennemsnits ordre"
Average,Gennemsnit
Views,Visninger
Revenue,Indtægter
Tax,Moms
Shipping,Levering
"Images (.gif, .jpg, .png)","Billeder (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Medier (.avi, .flv, .swf)"
"All Files","Alle Filer"
"Reset to Default","Nulstil til standard"
"All Store Views","Alle butiks visninger"
"What is this?","Hvad er dette?"
"Save Account","Gem konto"
"My Account","Min Konto"
"Account Information","Konto Information"
"User Name",Brugernavn
"First Name",Fornavn
"Last Name",Efternavn
Email,E-mail
"User Email","Bruger Email"
"New Password","Ny adgangskode"
"Password Confirmation","Gentag adgangskode"
"Interface Locale",Grænsefladesprog
"Current User Identity Verification","Aktuel bruger identitets kontrol"
"Your Password","Din adgangskode"
"Save Cache Settings","Gem Cache Indstillinger"
"Catalog Rewrites","Katalog fornyelse"
Refresh,Opdatér
"Images Cache","Billede Cache"
Clear,Ryd
"Search Index",Søgeindeks
Rebuild,Genopbyg
"Inventory Stock Status",Lagerstatus
"Rebuild Catalog Index","Genopbyg katalogindeks"
"Rebuild Flat Catalog Category","Genopbyg flad katalogkategori"
"Rebuild Flat Catalog Product","Genopbyg fladt katalogprodukt"
"Cache Control","Cache kontrol"
"All Cache","Alle Cache"
"No change","Ingen ændringer"
Disable,"Slå fra"
Enable,Aktivér
"Add Design Change","Tilføj designændringer"
Delete,Slet
Save,Gem
"Edit Design Change","Redigér designændringer"
"New Store Design Change","Ny butiksdesign-ændringer"
"General Settings","Generelle indstillinger"
"-- Please Select --","-- Vælg venligst --"
"Custom Design","Brugerdefineret Design"
"Date From","Dato fra"
"Date To","Dato til"
"Design Change",Designændring
General,Generelt
"Delete %1 '%2'","Slet %1 '%2'"
"Delete %1","Slet %1"
"Block Information","Blok oplysninger"
"Backup Options","Backup indstillinger"
"Create DB Backup","Opret DB sikkerhedskopi"
"Delete Store","Slet butik"
"Delete Web Site","Slette websted"
"Save Web Site","Gem websted"
"Save Store","Gem butik"
"Save Store View","Gem butiks visning"
"Delete Store View","Slet Butiksvisning"
"Edit Web Site","Rediger Webside"
"New Web Site","Nyt websted"
"Edit Store","Rediger butik"
"New Store","Ny butik"
"Edit Store View","Rediger butiks visning"
"New Store View","Ny butiks visning"
"Store Information","Butiks information"
"Web Site",Hjemmeside
Name,Navn
Code,Kode
"Root Category","Rod Kategori"
"Default Store View","Standard Butiksvisning"
"Store View Information","Butiksvisnings Information"
Disabled,"Slået fra"
"Web Site Information","Hjemmeside Information"
"Default Store","Standard Butik"
"Set as Default","Sæt som standard"
Stores,Butikker
"Create Website","Lav Website"
"Create Store","Lav Butik"
"Create Store View","Lav Butiks Design"
Home,Forsiden
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Add New Image","Tilføj Nyt Billede"
"Export block for grid %1 is not defined","Eksporter blok til net %1 er ikke defineret"
"Reset Filter","Nulstil Filter"
Search,Søg
Any,Enhver
"All Countries","Alle Lande"
From,Fra
To,Til
"Date selector","Dato Vælger"
"[ deleted ]","[ slettet ]"
"Select All","Vælg alle"
" [deleted]"," [ slettet]"
"We couldn't find any records.","Vi kunne ikke finde nogen arkiver."
"Add New","Tilføj Ny"
"Invalid export type supplied for grid export block","Ugyldig eksport type for grid eksport blok"
Export,Eksportér
"Please correct the column format and try again.","Ret venligst kolonneformatet og prøv igen."
Submit,Send
"Unknown block type","Ukendt blok format"
"Please correct the tab configuration and try again. Tab Id should be not empty","Ret venligst tab konfigurationen og prøv igen. Tab Id må ikke være tom"
"Please correct the tab configuration and try again.","Ret venligst tab konfigurationen og prøv igen."
"You have logged out.","Du har logget af."
"The image cache was cleaned.","Billede cache er slettet."
"An error occurred while clearing the image cache.","En fejl opstod under nulstilling af billede cache."
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS cache er blevet slettet."
"An error occurred while clearing the JavaScript/CSS cache.","En fejl opstod under sletning af JavaScript/CSS cache."
"The static files cache has been cleaned.","Den statiske fil chache er slettet."
"You flushed the cache storage.","Du har renset cache lager."
"The Magento cache storage has been flushed.","Magento cache lager er blevet renset."
"You can't change status of cache type(s) in production mode","Du kan ikke ændre status for cache type(r) i produktionstilstand"
"%1 cache type(s) disabled.","%1 cache type(r) deaktiveret."
"An error occurred while disabling cache.","Der opstod en fejl under deaktivering af cache."
"%1 cache type(s) enabled.","%1 cache type(r) aktiveret."
"An error occurred while enabling cache.","Der opstod en fejl under aktivering af cache."
"%1 cache type(s) refreshed.","%1 cache type(r) genindlæst."
"An error occurred while refreshing cache.","Der opstod en fejl under genindlæsning af cache."
Dashboard,Instrumentbræt
"We updated lifetime statistic.","Vi opdaterede levetidsstatistik."
"We can't refresh lifetime statistics.","Vi kan ikke genopfriske Livstids statistikkerne."
"invalid request","ugyldig anmodning"
"see error log for details","se fejlloggen for detaljer"
"Service unavailable: %1","Tjenesten er ikke tilgængelig: %1"
"Access Denied.","Adgang nægtet."
"You need more permissions to do this.","Du har brug for flere tilladelser til at gøre dette."
"No search modules were registered","Ingen søgemoduler blev registreret"
"Please make sure that all global admin search modules are installed and activated.","Sørg for, at alle globale admin søgemoduler er installeret og aktiveret."
"You saved the account.","Du gemte kontoen."
"An error occurred while saving account.","Der opstod en fejl under lagring af konto."
"You deleted the design change.","Du har slettet designændring."
"You can't delete the design change.","Du kan ikke slette designændringen."
"Store Design",Butikdesign
"Edit Store Design Change","Redigér butiksdesign ændringer"
"You saved the design change.","Du gemte designændringer."
"Manage Stores","Administrér butikker"
"The database was backed up.","Databasen-backup gennemført."
"We can't create a backup right now. Please try again later.","Vi kan ikke oprette en backup lige nu. Prøv igen senere."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Sletning af %1 vil ikke slette oplysninger forbundet til %1 (f.eks. kategorier, produkter, osv.), men %1 vil ikke kunne gendannes. Det foreslås, at du opretter en sikkerhedskopi af databasen før du sletter %1."
"Something went wrong. Please try again.","Noget gik galt. Prøv venligst igen."
"This store cannot be deleted.","Denne butik kan ikke slettes."
"You deleted the store.","Du slettede butikken."
"Unable to delete the store. Please try again later.","Kan ikke slette butikken. Prøv venligst igen senere."
"This store view cannot be deleted.","Denne butiks visning kan ikke slettes."
"Store View",Butiksvisning
"You deleted the store view.","Du slettede butiks visningen."
"Unable to delete the store view. Please try again later.","Kan ikke slette butiks visningen. Prøv venligst igen senere."
"This website cannot be deleted.","Dette websted kan ikke slettes."
"You deleted the website.","Du har slettet hjemmesiden."
"Unable to delete the website. Please try again later.","Kan ikke slette webstedet. Prøv venligst igen senere."
"The website does not exist.","Hjemmesiden findes ikke."
"Before modifying the website code please make sure it is not used in index.php.","Før du retter hjemmesiden, bør du sikre dig at den ikke bruges i index.php."
"The store does not exist","Butikken findes ikke"
"Store view doesn't exist","Butiks visning findes ikke"
"Before modifying the store view code please make sure it is not used in index.php.","Før du retter butiks visnings koden, bør du sikre dig at den ikke bruges i index.php."
"New ","Ny "
"All Stores","Alle butikker"
"You saved the website.","Du gemte hjemmesiden."
"The default store cannot be disabled","Standardbutikken kan ikke deaktiveres"
"You saved the store view.","Du gemte butiks visningen."
"An inactive store view cannot be saved as default store view","En inaktiv butiksvisning kan ikke gemmes som standard butiksvisning"
"You saved the store.","Du gemte butikken."
"Something went wrong while saving. Please review the error log.","Noget gik galt under lagring. Se venligst fejl loggen."
"Authentication storage is incorrect.","Fejl i Godkendelseslager."
